ticker,nama_perusahaan,tanggal_pencatatan,saham_beredar,papan_pencatatan,status_perusahaan,updated_at
AALI.JK,Astra Agro Lestari Tbk.,N/A,0,Utama,Active,2026-07-13 08:10:18
ABBA.JK,Mahaka Media Tbk.,2002-04-03,0,Pemantauan Khusus,Active,2026-07-13 08:10:18
ABDA.JK,Asuransi Bina Dana Arta Tbk.,1989-07-06,0,Pengembangan,Active,2026-07-13 08:10:18
ABMM.JK,ABM Investama Tbk.,N/A,0,Utama,Active,2026-07-13 08:10:18
ACES.JK,Aspirasi Hidup Indonesia Tbk.,2007-11-06,0,Utama,Active,2026-07-13 08:10:18
ACST.JK,Acset Indonusa Tbk.,2013-06-24,0,Pemantauan Khusus,Active,2026-07-13 08:10:18
ADES.JK,Akasha Wira International Tbk.,1994-06-13,0,Utama,Active,2026-07-13 08:10:18
ADHI.JK,Adhi Karya (Persero) Tbk.,2004-03-18,0,Utama,Active,2026-07-13 08:10:18
AISA.JK,FKS Food Sejahtera Tbk.,1997-06-11,0,Utama,Active,2026-07-13 08:10:18
AKKU.JK,Anugerah Kagum Karya Utama Tbk,2004-11-01,0,Pemantauan Khusus,Active,2026-07-13 08:10:18
AKPI.JK,Argha Karya Prima Industry Tbk,N/A,0,Pengembangan,Active,2026-07-13 08:10:18
AKRA.JK,AKR Corporindo Tbk.,N/A,0,Utama,Active,2026-07-13 08:10:18
AKSI.JK,Mineral Sumberdaya Mandiri Tbk,2001-07-13,0,Pengembangan,Active,2026-07-13 08:10:18
ALDO.JK,Alkindo Naratama Tbk.,2011-07-12,0,Utama,Active,2026-07-13 08:10:18
ALKA.JK,Alakasa Industrindo Tbk,1990-07-12,0,Pengembangan,Active,2026-07-13 08:10:18
ALMI.JK,Alumindo Light Metal Industry,1997-01-02,0,Pemantauan Khusus,Active,2026-07-13 08:10:18
ALTO.JK,Tri Banyan Tirta Tbk.,2012-07-10,0,Pemantauan Khusus,Active,2026-07-13 08:10:18
AMAG.JK,Asuransi Multi Artha Guna Tbk.,N/A,0,Utama,Active,2026-07-13 08:10:18
AMFG.JK,Asahimas Flat Glass Tbk.,1995-11-08,0,Pengembangan,Active,2026-07-13 08:10:18
AMIN.JK,Ateliers Mecaniques D Indonesi,N/A,0,Pengembangan,Active,2026-07-13 08:10:18
AMRT.JK,Sumber Alfaria Trijaya Tbk.,2009-01-15,0,Utama,Active,2026-07-13 08:10:18
ANJT.JK,Austindo Nusantara Jaya Tbk.,N/A,0,Pengembangan,Active,2026-07-13 08:10:18
ANTM.JK,Aneka Tambang (Persero) Tbk.,1997-11-27,0,Utama,Active,2026-07-13 08:10:18
APEX.JK,Apexindo Pratama Duta Tbk.,2013-06-05,0,Pengembangan,Active,2026-07-13 08:10:18
APIC.JK,Pacific Strategic Financial Tb,N/A,0,Pengembangan,Active,2026-07-13 08:10:18
APII.JK,Arita Prima Indonesia Tbk.,N/A,0,Pengembangan,Active,2026-07-13 08:10:18
APLI.JK,Asiaplast Industries Tbk.,N/A,0,Pengembangan,Active,2026-07-13 08:10:18
APLN.JK,Agung Podomoro Land Tbk.,2010-11-11,0,Utama,Active,2026-07-13 08:10:18
ARGO.JK,Argo Pantes Tbk,1991-01-07,0,Pengembangan,Active,2026-07-13 08:10:18
ARII.JK,Atlas Resources Tbk.,2011-11-08,0,Pengembangan,Active,2026-07-13 08:10:18
ARNA.JK,Arwana Citramulia Tbk.,2001-07-17,0,Utama,Active,2026-07-13 08:10:18
ARTA.JK,Arthavest Tbk,2002-11-05,0,Pengembangan,Active,2026-07-13 08:10:18
ARTI.JK,Ratu Prabu Energi Tbk,2003-04-30,0,Pemantauan Khusus,Active,2026-07-13 08:10:18
ARTO.JK,Bank Jago Tbk.,2016-01-12,0,Utama,Active,2026-07-13 08:10:18
ASBI.JK,Asuransi Bintang Tbk.,1989-11-29,0,Pengembangan,Active,2026-07-13 08:10:18
ASDM.JK,Asuransi Dayin Mitra Tbk.,N/A,0,Pengembangan,Active,2026-07-13 08:10:18
ASGR.JK,Astra Graphia Tbk.,1989-11-15,0,Utama,Active,2026-07-13 08:10:18
ASII.JK,Astra International Tbk.,1990-04-04,0,Utama,Active,2026-07-13 08:10:18
ASJT.JK,Asuransi Jasa Tania Tbk.,N/A,0,Pengembangan,Active,2026-07-13 08:10:18
ASMI.JK,Asuransi Maximus Graha Persada,2014-01-16,0,Pemantauan Khusus,Active,2026-07-13 08:10:18
ASRI.JK,Alam Sutera Realty Tbk.,N/A,0,Utama,Active,2026-07-13 08:10:18
ASRM.JK,Asuransi Ramayana Tbk.,1990-03-19,0,Pengembangan,Active,2026-07-13 08:10:18
ASSA.JK,Adi Sarana Armada Tbk.,2012-11-12,0,Utama,Active,2026-07-13 08:10:18
ATIC.JK,Anabatic Technologies Tbk.,2015-07-08,0,Pengembangan,Active,2026-07-13 08:10:18
AUTO.JK,Astra Otoparts Tbk.,1998-06-15,0,Utama,Active,2026-07-13 08:10:18
